series_name,fred_group,include_hist,include_2007,include_full,uv_nb_hist,uv_break_dates_hist,cv_nb_hist,cv_break_dates_hist,uv_nb_2007,uv_break_dates_2007,cv_nb_2007,cv_break_dates_2007,uv_nb_full,uv_break_dates_full,cv_nb_full,cv_break_dates_full
CUSR0000SAC,Prices,1,1,1,0,,0,,1,01-Mar-1999,3,01-Dec-1972 | 01-Jul-1991 | 01-Mar-1999,1,01-Mar-1999,3,01-Mar-1973 | 01-Oct-1991 | 01-Jun-1999
CUSR0000SAD,Prices,1,1,1,1,01-May-1987,2,01-Mar-1988 | 01-Dec-1996,1,01-May-1985,1,01-Feb-1988,0,,0,
CUSR0000SAS,Prices,1,1,1,2,01-May-1983 | 01-Apr-1993,2,01-Apr-1983 | 01-Apr-1993,1,01-May-1983,1,01-Dec-1983,5,01-Apr-1970 | 01-Feb-1980 | 01-Jul-1986 | 01-Feb-2006 | 01-Aug-2019,1,01-Mar-1984
CPIULFSL,Prices,1,1,1,1,01-Nov-1990,1,01-Mar-1991,2,01-Nov-1990 | 01-Mar-1999,3,01-Feb-1979 | 01-Mar-1991 | 01-Mar-1999,5,01-Nov-1990 | 01-Mar-2000 | 01-Aug-2009 | 01-Jan-2017 | 01-Aug-2023,1,01-Jun-1999
CUSR0000SA0L2,Prices,1,1,1,0,,2,01-Dec-1972 | 01-Jan-1987,3,01-Jul-1969 | 01-Sep-1975 | 01-Jan-1999,3,01-Jun-1972 | 01-Mar-1991 | 01-Mar-1999,5,01-Jul-1969 | 01-Sep-1975 | 01-Feb-2003 | 01-Aug-2009 | 01-Oct-2018,2,01-Jun-1991 | 01-Apr-1999
CUSR0000SA0L5,Prices,1,1,1,1,01-Feb-1991,3,01-Dec-1972 | 01-Apr-1983 | 01-Mar-1991,0,,0,,0,,0,
PCEPI,Prices,1,1,1,3,01-Jun-1972 | 01-Jun-1991 | 01-May-1998,3,01-Aug-1972 | 01-Feb-1984 | 01-May-1991,1,01-Jun-1972,1,01-Aug-1972,1,01-Jun-1972,1,01-Feb-1973
DDURRG3M086SBEA,Prices,1,1,1,0,,0,,0,,0,,2,01-Feb-1968 | 01-Mar-2016,2,01-Jun-1981 | 01-Jun-2019
DNDGRG3M086SBEA,Prices,1,1,1,1,01-Feb-1973,2,01-Dec-1972 | 01-Nov-1991,1,01-Jan-1999,3,01-Dec-1972 | 01-Aug-1991 | 01-Mar-1999,4,01-Jan-1986 | 01-Mar-1992 | 01-Jan-1999 | 01-Aug-2009,3,01-Jan-1973 | 01-Sep-1991 | 01-Apr-1999
DSERRG3M086SBEA,Prices,1,1,1,5,01-Jul-1965 | 01-Jul-1972 | 01-Sep-1978 | 01-Jul-1986 | 01-Jun-1993,5,01-Aug-1972 | 01-Sep-1978 | 01-Dec-1986 | 01-Feb-1990 | 01-Apr-1994,3,01-Jul-1972 | 01-Sep-1978 | 01-Sep-1986,3,01-Jul-1972 | 01-Sep-1978 | 01-Dec-1986,4,01-Jul-1965 | 01-Jul-1972 | 01-Sep-1978 | 01-Sep-1986,3,01-Aug-1972 | 01-Oct-1978 | 01-Jan-1987
CES0600000008,Labor Market,1,1,1,1,01-Jun-1982,1,01-May-1983,2,01-Jun-1982 | 01-Nov-1998,3,01-May-1983 | 01-Nov-1999 | 01-Mar-2006,1,01-Jun-1982,1,01-May-1983
CES2000000008,Labor Market,1,1,1,1,01-Aug-1965,1,01-Apr-1988,2,01-Aug-1965 | 01-May-1988,2,01-Jun-1966 | 01-Apr-1988,1,01-Aug-1965,1,01-Apr-1988
CES3000000008,Labor Market,1,1,1,1,01-Mar-1982,1,01-Mar-1983,1,01-Mar-1982,1,01-Mar-1983,1,01-Mar-1982,1,01-Apr-1982
UMCSENTx,Orders and Inventories,0,0,0,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
DTCOLNVHFNM,Money and Credit,1,1,1,2,01-Aug-1966 | 01-Sep-1976,1,01-Sep-1976,2,01-Aug-1966 | 01-Sep-1976,1,01-Sep-1976,4,01-Aug-1966 | 01-Sep-1976 | 01-Dec-1988 | 01-Jan-2011,3,01-Jul-1970 | 01-Oct-1976 | 01-May-2011
DTCTHFNM,Money and Credit,1,1,1,2,01-Nov-1966 | 01-Dec-1974,3,01-Dec-1967 | 01-May-1975 | 01-Feb-1987,2,01-Nov-1966 | 01-Dec-1974,3,01-Aug-1962 | 01-Dec-1963 | 01-Aug-1974,1,01-Dec-1974,3,01-Nov-1967 | 01-Jan-1974 | 01-Oct-2010
INVEST,Money and Credit,1,1,1,2,01-Oct-1978 | 01-Oct-1993,1,01-Jan-1977,2,01-Oct-1978 | 01-Jan-1994,3,01-Jan-1977 | 01-Feb-1997 | 01-Apr-2006,3,01-Oct-1978 | 01-Jan-1994 | 01-Jul-2009,1,01-Mar-1973
VIXCLSx,Stock Market,0,0,1,NaN,,NaN,,NaN,,NaN,,2,01-Mar-1975 | 01-Sep-1987,0,
