series_name,include_main_hist,cv_supw_found_hist,cv_supw_stat_hist,cv_supw_break_date_hist,cv_supw_hac_lag_hist,cv_mu1_hist,cv_mu2_hist,cv_ratio_hist,cv_pct_change_hist,cv_break_date_hist,cv_hansen_pval_hist,cv_hansen_sig5_hist
NONREVSL,1,1,3.22539657176645,01-Aug-1974,5,0.00350280817567238,0.00445071000331226,1.27061197190963,27.0611971909631,01-Aug-1974,0.512539201875503,0
CONSPI,1,1,3.51160951211376,01-Feb-1970,5,0.572602771880584,0.720774363542434,1.25876855463905,25.8768554639047,01-Feb-1970,0.458921597298212,0
S&P 500,1,1,4.41798831932508,01-Feb-1991,5,0.0321416765215721,0.0254199670747289,0.790872469196437,-20.9127530803563,01-Feb-1991,0.318648010493446,0
S&P div yield,1,1,65.3027157299715,01-Feb-1991,5,0.126103397269328,0.0523484573044451,0.415123291188109,-58.4876708811891,01-Feb-1991,3.69704267200177e-14,1
S&P PE ratio,1,1,5.28822122179049,01-Feb-1991,5,0.0336553070816027,0.026192353179968,0.778253281613519,-22.1746718386481,01-Feb-1991,0.22101610962959,0
FEDFUNDS,1,1,26.6234315230468,01-Sep-1992,5,0.424427653366687,0.136750895007718,0.322200718833867,-67.7799281166132,01-Sep-1992,8.80422908944301e-06,1
CP3Mx,1,1,37.6054171974067,01-Dec-1966,5,0.10604837990753,0.42096481840582,3.96955445026964,296.955445026964,01-Dec-1966,3.84698205513345e-08,1
TB3MS,1,1,28.2740667823631,01-Sep-1992,5,0.373011162557554,0.131101131894954,0.351467047248823,-64.8532952751177,01-Sep-1992,3.90594777521791e-06,1
TB6MS,1,1,35.2224673811246,01-May-1966,5,0.117803916172098,0.363528956735917,3.08588176478651,208.588176478651,01-May-1966,1.25621398172626e-07,1
GS1,1,1,23.9128031381217,01-May-1969,5,0.182667957632406,0.406488736046096,2.22528757267926,122.528757267926,01-May-1969,3.33100805148812e-05,1
GS5,1,1,52.6440689862404,01-Jul-1966,5,0.113122759188824,0.317563023559166,2.8072425552235,180.72425552235,01-Jul-1966,2.11700657004599e-11,1
GS10,1,1,77.1236062677604,01-Jan-1966,5,0.0825339779074668,0.271605830007619,3.29083653658534,229.083653658534,01-Jan-1966,1.11022302462516e-16,1
AAA,1,1,76.8713966888213,01-Feb-1966,5,0.0449158382390976,0.198752429308066,4.42499655132917,342.499655132917,01-Feb-1966,1.11022302462516e-16,1
BAA,1,1,103.788371570692,01-Feb-1966,5,0.0425230304086591,0.178855220844786,4.20607889715134,320.607889715133,01-Feb-1966,0,1
COMPAPFFx,1,1,20.0506416683266,01-Jul-1989,5,0.264986564985534,0.140517698405414,0.530282350024368,-46.9717649975632,01-Jul-1989,0.000219427203938638,1
TB3SMFFM,1,1,21.6730737753054,01-Oct-1987,5,0.353658223641112,0.155469624027795,0.439604153487928,-56.0395846512072,01-Oct-1987,9.95694238665745e-05,1
