series_name,include_main_mod,cvmod_found,cvmod_supw_stat,cvmod_break_date,cvmod_hac_lag,cvmod_mu1,cvmod_mu2,cvmod_ratio,cvmod_pct_change,cvmod_hansen_pval,cvmod_hansen_sig5
GS5,1,1,12.8235018154012,01-Aug-2011,5,0.246554643104266,0.169213366101795,0.686311821068549,-31.3688178931451,0.00708122464316752,1
GS10,1,1,7.17262340827045,01-Nov-2011,5,0.227264895865941,0.170706567037946,0.751134777711745,-24.8865222288255,0.0967798672717984,0
AAA,1,1,4.07198004949919,01-May-2019,5,0.156154551568663,0.205843618788374,1.31820441172259,31.820441172259,0.36710886660561,0
BAA,1,1,2.91284162392153,01-May-2019,5,0.168304623127478,0.211306705123084,1.25550149007514,25.550149007514,0.576339044924203,0
COMPAPFFx,1,1,3.72156110986929,01-Jun-2009,5,0.127569106826258,0.0704186977591253,0.552004317589458,-44.7995682410542,0.422514422267836,0
TB3SMFFM,1,1,18.220721382241,01-Feb-2009,5,0.137299578156854,0.0553876656505001,0.403407398580817,-59.6592601419183,0.00053303822338413,1
TB6SMFFM,1,1,10.2992118193034,01-Feb-2009,5,0.14005367214719,0.074385925343692,0.531124419683302,-46.8875580316698,0.0231702482108976,1
T1YFFM,1,1,12.1140359156122,01-Feb-2009,5,0.174789852073939,0.0970584122852619,0.555286311725951,-44.4713688274049,0.00990134784110019,1
T5YFFM,1,1,14.5999588799182,01-Oct-2003,5,0.317543802713355,0.210126275241164,0.661723747859893,-33.8276252140107,0.00304168800797011,1
T10YFFM,1,1,13.9116294612322,01-Oct-2003,5,0.33067797893461,0.212047355079978,0.6412503056997,-35.87496943003,0.00422373567037115,1
AAAFFM,1,1,5.9467584393575,01-Mar-2009,5,0.252440653566741,0.182813170006702,0.724182763052346,-27.5817236947654,0.166337657422636,0
BAAFFM,1,1,5.78488428777521,01-Aug-2009,5,0.265874454334198,0.188810819356717,0.710150284387179,-28.9849715612821,0.178463094423295,0
TWEXAFEGSMTHx,1,1,8.5860041113074,01-Apr-2011,5,0.0168624301562722,0.0130569743445155,0.774323405553663,-22.5676594446337,0.0510641653851376,0
EXSZUSx,1,1,19.9555146379487,01-Feb-2016,5,0.023712863863475,0.0157189615057317,0.662887519459158,-33.7112480540842,0.000229811819634884,1
EXJPUSx,1,1,7.77594924053741,01-Feb-2003,5,0.025586683759654,0.0205859706261114,0.804557980998384,-19.5442019001616,0.0737869643728405,0
EXUSUKx,1,1,3.67829217554094,01-Apr-2003,5,0.0163182929681335,0.0200022431946857,1.22575585778159,22.5755857781586,0.429817314455645,0
EXCAUSx,1,1,10.3119866740904,01-Jun-2018,5,0.0174860830396971,0.0125027516870789,0.715011569983681,-28.4988430016319,0.0230329670357554,1
WPSFD49207,1,1,12.5998905490823,01-Aug-2005,5,0.00472549211363433,0.00734359641913541,1.55403844563556,55.4038445635564,0.00787156242537113,1
WPSFD49502,1,1,14.8194703990271,01-Jul-2005,5,0.00599681174515741,0.00972795750634076,1.62218824264349,62.2188242643495,0.00273874649469841,1
WPSID61,1,1,7.07619430584317,01-Aug-2005,5,0.00535515858263439,0.00841028888185982,1.57050230204808,57.0502302048077,0.101041820705835,0
WPSID62,1,1,7.27978545761706,01-Oct-2009,5,0.0486399373359652,0.0328303277468993,0.674966489371358,-32.5033510628642,0.0922460442070457,0
OILPRICEx,1,1,2.103900927944,01-Sep-2020,5,0.0941678150826891,0.0753552674990031,0.800223170016564,-19.9776829983436,0.763580559072749,0
PPICMM,1,1,10.4842121722299,01-Nov-2012,5,0.0397115305196324,0.0266057749349495,0.669976064553752,-33.0023935446248,0.0212583111601772,1
CPIAUCSL,1,1,3.75291415887133,01-Mar-2010,5,0.00255209310092376,0.00188130231819005,0.73716053599655,-26.283946400345,0.417287064251255,0
CPIAPPSL,1,1,13.2654601699213,01-Feb-2005,5,0.00338747033064123,0.0051852564273974,1.53071641115034,53.0716411150339,0.00574268803717914,1
CPITRNSL,1,1,3.17147597115025,01-May-2010,5,0.0141612113497441,0.0107783004800064,0.761114301157664,-23.8885698842336,0.523157632673299,0
CPIMEDSL,1,1,25.0651289033902,01-Aug-2012,5,0.00121169171825361,0.00216204399258628,1.78431853582559,78.4318535825588,1.89319680394817e-05,1
CUSR0000SAC,1,1,4.38489874193233,01-May-2010,5,0.00622852921148439,0.00454009185853718,0.728918771090613,-27.1081228909387,0.323026292741549,0
CUSR0000SAD,1,1,15.4058971263832,01-Mar-2017,5,0.00179044288522427,0.00369373400188932,2.06302811017992,106.302811017992,0.00206835106978043,1
CUSR0000SAS,1,1,12.9061534639828,01-Mar-2020,5,0.000923260001968694,0.00159312330458988,1.72554134392567,72.5541343925671,0.00680939330699126,1
CPIULFSL,1,1,5.96437459398928,01-Nov-2009,5,0.00314939131939793,0.00218538467887625,0.693906998922582,-30.6093001077418,0.165065824284464,0
CUSR0000SA0L2,1,1,5.61932754796154,01-May-2010,5,0.00397677923620844,0.00275438151371258,0.692616147417498,-30.7383852582503,0.191716963909353,0
CUSR0000SA0L5,1,1,3.65136823724238,01-Jan-2010,5,0.0027892352898942,0.00207013176659644,0.74218613757571,-25.781386242429,0.434413732607649,0
PCEPI,1,1,2.73164955014468,01-Mar-2010,5,0.00195607075257479,0.00151502578042621,0.77452504130128,-22.547495869872,0.615744230486448,0
DDURRG3M086SBEA,1,1,17.0912785578304,01-Nov-2014,5,0.00197479465643329,0.00323989168449725,1.64062206363717,64.0622063637174,0.000919807780603299,1
DNDGRG3M086SBEA,1,1,7.27555089977232,01-Sep-2009,5,0.00742323117439488,0.00494494917597372,0.666145113873113,-33.3854886126887,0.0924212612347576,0
DSERRG3M086SBEA,1,1,5.96690799618013,01-Dec-2019,5,0.000943580909634783,0.00130669827900018,1.38482907576621,38.4829075766212,0.164883674230089,0
CES0600000008,1,1,3.56283898478871,01-May-2021,5,0.00166176086056111,0.00134100098690035,0.806975912555523,-19.3024087444477,0.449811379144808,0
CES2000000008,1,1,11.6936189262706,01-Sep-2008,5,0.0023739106351478,0.00351639195799175,1.48126551434942,48.1265514349416,0.0120687305360195,1
CES3000000008,1,1,8.11939681351475,01-Apr-2018,5,0.00176657000982043,0.00238024147182478,1.34738021057356,34.7380210573559,0.0631567982766044,0
UMCSENTx,1,1,5.62069382387745,01-Jul-2019,5,3.89045784522973,4.94515962914175,1.27109965609966,27.1099656099664,0.191603920095075,0
DTCOLNVHFNM,1,1,34.7349496351836,01-Nov-2021,5,0.016389879911991,0.00374623666807394,0.228570110836087,-77.1429889163913,1.59991426995632e-07,1
DTCTHFNM,1,1,12.8339680853533,01-Oct-2021,5,0.0118620532627557,0.00303885163760307,0.256182599275997,-74.3817400724003,0.00704621820106666,1
INVEST,1,1,11.5173604487119,01-Mar-2011,5,0.010152119961048,0.00631291162153071,0.621831858346073,-37.8168141653927,0.0131108530711131,1
VIXCLSx,1,1,1.86851083458131,01-Jul-2007,5,2.82356079718657,3.54169216615603,1.25433536606862,25.4335366068623,0.821593752813287,0
