series_name,include_main_full_ext,cvfull_found,cvfull_supw_stat,cvfull_break_date,cvfull_hac_lag,cvfull_mu1,cvfull_mu2,cvfull_ratio,cvfull_pct_change,cvfull_hansen_pval,cvfull_hansen_sig5
M2REAL,1,1,21.5880521022906,01-Mar-1970,6,0.00239961229129814,0.0037645706189095,1.56882452742936,56.8824527429364,0.000103785941729662,1
BOGMBASE,1,1,41.8175231064528,01-Oct-2008,6,0.00552476690452377,0.0237691892862655,4.30229721851303,330.229721851303,4.72820960162323e-09,1
TOTRESNS,1,1,40.7451375435683,01-Dec-1971,6,0.0121036215087792,0.0334650277397797,2.76487724897101,176.487724897101,8.066867507317e-09,1
NONBORRES,1,1,1.82055377987596,01-Sep-1970,6,0.0417044103490366,0.0962459796506753,2.30781298297145,130.781298297145,0.833391729208391,0
BUSLOANS,1,1,9.66665774266844,01-Sep-1972,6,0.00458433721900031,0.00639694204362993,1.39539081399097,39.5390813990967,0.0310703118842462,1
REALLN,1,1,17.2610588651352,01-Feb-2013,6,0.00341181189416792,0.00201437999850825,0.59041355766172,-40.958644233828,0.000847485575896201,1
NONREVSL,1,1,3.86890047274472,01-Sep-2011,6,0.00416074939657972,0.00278063715696977,0.668302003301509,-33.1697996698491,0.398415413404606,0
CONSPI,1,1,9.76936735121445,01-Jun-1971,6,0.597345688473437,0.993530985342115,1.66324291698022,66.3242916980218,0.0296284264458668,1
S&P 500,1,1,3.36288018901932,01-Nov-1969,6,0.0269351476493464,0.0322106215960415,1.19585836377708,19.5858363777081,0.486206720898931,0
S&P div yield,1,1,46.4160285435897,01-Mar-1991,6,0.126184566174708,0.0595564192588185,0.471978634664084,-52.8021365335916,4.76814476790821e-10,1
S&P PE ratio,1,1,6.96578610128856,01-Feb-1970,6,0.0279392916881954,0.0359852261570068,1.28797918567889,28.7979185678887,0.106142598470842,0
FEDFUNDS,1,1,45.422641701169,01-Dec-2008,6,0.335430781880371,0.0628780593077213,0.187454648482876,-81.2545351517124,7.83019205030655e-10,1
CP3Mx,1,1,40.5139387629282,01-Apr-2009,6,0.321624485098875,0.0686401818970406,0.213417152851217,-78.6582847148783,9.05118957561513e-09,1
TB3MS,1,1,40.5765388024515,01-Feb-2009,6,0.288163913944674,0.0716024284588873,0.248478123019368,-75.1521876980632,8.77340111671288e-09,1
TB6MS,1,1,48.4746233283642,01-Feb-2009,6,0.289357335258871,0.0714929445467843,0.247074934121935,-75.2925065878065,1.70462421955619e-10,1
GS1,1,1,47.4927227391873,01-Feb-2009,6,0.314095636989472,0.0976574550576577,0.310916305599403,-68.9083694400597,2.78453593516303e-10,1
GS5,1,1,36.3531086693729,01-Aug-1969,6,0.136711892296549,0.271900983464219,1.98886123874597,98.8861238745969,7.16675692125079e-08,1
GS10,1,1,54.4175102095902,01-Aug-1969,6,0.111305800461851,0.243809980919934,2.19045170968873,119.045170968873,8.70947758357943e-12,1
AAA,1,1,92.7132282038712,01-May-1969,6,0.0581466112651531,0.193070528684269,3.32040895390881,232.040895390881,0,1
BAA,1,1,98.0800550339007,01-May-1969,6,0.0621217862107487,0.183777362481258,2.95833995915364,195.833995915364,0,1
