series_name,include_main_mod,uvmod_break_found,uvmod_break_date,uvmod_mu1,uvmod_mu2,uvmod_delta,uvmod_ratio_break,uvmod_pct_change_break,uvmod_ssr_nobreak,uvmod_ssr_best,uvmod_ssr_gain_pct,uvmod_supw_found,uvmod_supw_stat,uvmod_supw_hac_lag,uvmod_supw_break_date,uvmod_supw_mu1,uvmod_supw_mu2,uvmod_supw_ratio,uvmod_supw_pct_change,uvmod_hansen_pval,uvmod_hansen_sig5
IPDMAT,1,1,01-Feb-2020,0.00943702513177159,0.0164364859754242,0.0069994608436526,1.74170204549817,74.1702045498167,0.109352416589796,0.106633863109168,2.4860479223121,1,3.66270321032861,5,01-Apr-2008,0.00779920952903829,0.0126313775609052,1.61957151091731,61.9571510917308,0.432473747820975,0
IPNMAT,1,1,01-Mar-2020,0.00883292628811133,0.0145832316620035,0.00575030537389219,1.65100796568763,65.1007965687635,0.0706162118352237,0.0688001247204844,2.57177079815185,1,9.39531991561698,5,01-Jun-2005,0.00623114103272759,0.0112841838836271,1.81093379597084,81.0933795970843,0.0352178038842126,1
IPMANSICS,1,1,01-Feb-2020,0.0059820906086107,0.0137421436356959,0.00776005302708519,2.2972142240566,129.72142240566,0.0682859815895149,0.0649445076200424,4.89335276683724,1,3.67382513244558,5,01-Apr-2004,0.00519148305937207,0.00828692834069621,1.59625452802663,59.6254528026633,0.430577144966419,0
IPB51222S,1,1,01-Oct-2015,0.0363163576552241,0.0503814931407082,0.0140651354854841,1.38729477275816,38.7294772758159,0.463219963893317,0.448096162699327,3.264928624163,1,6.2472462876838,5,01-Sep-2009,0.0343795113403328,0.0464177088763236,1.35015615599713,35.0156155997133,0.145857161480761,0
IPFUELS,1,1,01-Aug-2019,0.0157664076391548,0.0239167891957516,0.0081503815565968,1.51694601225176,51.6946012251762,0.17616731625238,0.172264169089556,2.21559097672382,1,3.11887372123176,5,01-Jun-2021,0.0185646754452611,0.013439990770232,0.723955062390422,-27.6044937609578,0.53367366806677,0
CUMFNS,1,1,01-Feb-2020,0.458159108094933,1.01699049454974,0.558831386454805,2.21973213362161,121.973213362161,322.2485310531,304.919659427271,5.37748661543904,1,2.86993655761105,5,01-Jan-2008,0.429571097909332,0.65627541156031,1.52774573232305,52.7745732323052,0.585514320037676,0
HWI,1,1,01-Oct-2019,213.486590277654,485.710456431919,272.223866154264,2.2751333271107,127.51333271107,20370008.1416329,16138656.5486591,20.7724590169686,1,30.4884145517209,5,01-Apr-2020,225.882644372894,463.062711557568,2.05001456771123,105.001456771123,1.30960288002857e-06,1
HWIURATIO,1,1,01-Feb-2020,0.0324735976619536,0.106454190516235,0.073980592854281,3.27817667830988,227.817667830988,1.3994098037324,1.10583257120883,20.9786462650591,1,23.5011358676962,5,01-Mar-2020,0.0342802641209226,0.10068225985679,2.93703279244395,193.703279244395,4.07498441967746e-05,1
CLF16OV,1,1,01-Feb-2020,0.00205457886639287,0.00360102643555086,0.00154644756915799,1.75268347905915,75.268347905915,0.00398699784594548,0.00385723490329875,3.25465294090116,1,2.5745586719834,5,01-Mar-2007,0.00193708417360634,0.00258286840593648,1.33337954082184,33.3379540821843,0.651243662363962,0
CE16OV,1,1,01-Feb-2020,0.0022545565509025,0.00779482371540221,0.00554026716449971,3.45736447031322,245.736447031322,0.0425902736650087,0.0409247849250329,3.91049081552197,1,1.91548281796055,5,01-Nov-2019,0.00226094328586206,0.00754171438250847,3.33564951835266,233.564951835266,0.810012143361552,0
