series_name,include_main_hist,cvexp_found,cvexp_stat,cvexp_break_date,cvexp_hac_lag,cvexp_mu1,cvexp_mu2,cvexp_ratio,cvexp_pct_change,cvexp_nobs_exp,cvexp_pval,cvexp_sig5
CONSPI,1,1,10.6771936885961,01-Sep-1994,5,0.718658322694783,0.479449544828956,0.667145331360171,-33.2854668639829,419,0.0194290238558237,1
S&P 500,1,1,1.24295540218027,01-May-1989,5,0.0288491490353207,0.0256409875423732,0.888795281655635,-11.1204718344365,422,0.96414550073301,0
S&P div yield,1,1,58.1847223087223,01-May-1990,5,0.106630879302209,0.0521512827061821,0.489082365703623,-51.0917634296377,422,1.31794575253252e-12,1
S&P PE ratio,1,1,2.78777304532639,01-Aug-1988,5,0.0304420115724648,0.0256575388987735,0.842833228602445,-15.7166771397555,422,0.603356376850639,0
FEDFUNDS,1,1,18.7556268616189,01-Sep-1992,5,0.330533139269213,0.136750895007718,0.413728243134909,-58.6271756865091,421,0.000411407807818231,1
CP3Mx,1,1,46.8102651754702,01-Sep-1966,5,0.0923788294828377,0.334469497776832,3.62062931138319,262.062931138319,415,3.91588206305471e-10,1
TB3MS,1,1,21.548203600959,01-Jun-1966,5,0.118002812266848,0.297645407141145,2.5223585897941,152.23585897941,417,0.000105822908098796,1
TB6MS,1,1,49.2856485112572,01-May-1966,5,0.0973834869861196,0.300521519719669,3.08595973527322,208.595973527322,415,1.13639320176162e-10,1
GS1,1,1,23.9917454495089,01-Jun-1966,5,0.140529431806558,0.331984179987629,2.36238185638303,136.238185638303,417,3.20464504037776e-05,1
GS5,1,1,51.0556061206333,01-Jul-1966,5,0.106094222086708,0.288476233465596,2.71905696457092,171.905696457092,421,4.68833860622908e-11,1
GS10,1,1,84.0107644541875,01-Jan-1966,5,0.0770131860006792,0.248887476326899,3.23175146038892,223.175146038892,421,0,1
AAA,1,1,77.6757674165171,01-Feb-1966,5,0.041327556123195,0.179623185717781,4.34632972688572,334.632972688572,421,1.11022302462516e-16,1
BAA,1,1,135.325378953589,01-Feb-1966,5,0.0354795703316154,0.167751270817419,4.72810885953538,372.810885953538,421,0,1
COMPAPFFx,1,1,11.8616338689789,01-Jul-1989,5,0.233429673640933,0.136215453675104,0.583539579824945,-41.6460420175055,418,0.0111515256862152,1
TB3SMFFM,1,1,12.6844425173438,01-Oct-1987,5,0.279339410458521,0.152042539446888,0.544293192275727,-45.5706807724273,422,0.00756296908368981,1
TB6SMFFM,1,1,10.9378085239809,01-Feb-1987,5,0.303003317659256,0.16554511228454,0.54634752372812,-45.365247627188,422,0.0172020662204363,1
T1YFFM,1,1,4.92658084880527,01-Dec-1985,5,0.321206189990915,0.226706087713651,0.705796135871674,-29.4203864128326,418,0.257697494573607,0
T5YFFM,1,1,11.7522608886628,01-Jan-1969,5,0.210339095250898,0.366847769684851,1.74407791022998,74.4077910229981,418,0.0117404514022907,1
T10YFFM,1,1,13.1614798184396,01-Dec-1968,5,0.201069071328425,0.369103416343719,1.83570458601675,83.5704586016747,418,0.00603313556731389,1
