series_name,include_main_full_ext,uvfull_nobs,uvfull_mean_pre84,uvfull_mean_post84,uvfull_ratio_post_pre84,uvfull_pct_change_post84,uvfull_break_found,uvfull_break_date,uvfull_mu1,uvfull_mu2,uvfull_delta,uvfull_ratio_break,uvfull_pct_change_break,uvfull_ssr_nobreak,uvfull_ssr_best,uvfull_ssr_gain_pct,uvfull_supw_found,uvfull_supw_stat,uvfull_supw_hac_lag,uvfull_supw_break_date,uvfull_supw_mu1,uvfull_supw_mu2,uvfull_supw_ratio,uvfull_supw_pct_change,uvfull_hansen_pval,uvfull_hansen_sig5
USGOVT,1,803,0.00296855579666103,0.00213149891977432,0.718025553763142,-28.1974446236857,1,01-Jul-1982,0.0030496309934023,0.00211511546502868,-0.000934515528373619,0.693564391759072,-30.6435608240928,0.00965469950606878,0.00949517246052873,1.65232533068244,1,7.64505205513924,6,01-Jul-1982,0.0030496309934023,0.00211511546502867,0.693564391759069,-30.6435608240931,0.0782775065541251,0
CES0600000007,1,803,0.682669516567477,0.607990332790651,0.890607121067423,-10.9392878932577,1,01-Oct-2008,0.553725241285191,0.871741015412624,0.318015774127433,1.57432053014112,57.4320530141125,184.146994426949,168.608877528853,8.43788786585908,1,14.5565401368863,6,01-Oct-2008,0.55372524128519,0.871741015412623,1.57432053014112,57.4320530141124,0.00310542967833627,1
AWOTMAN,1,803,0.130153101675304,0.101040271696777,0.776318584775983,-22.3681415224017,1,01-Nov-1981,0.132883234714129,0.101007242319161,-0.0318759923949681,0.760120285575959,-23.9879714424041,14.8651700252048,14.6820860217646,1.23163073903499,1,6.11988626378578,6,01-May-1996,0.125122959266895,0.0951713447017152,0.760622552881833,-23.9377447118167,0.154228749629431,0
AWHMAN,1,803,0.792108634266279,0.672766814572476,0.849336549898427,-15.0663450101573,1,01-Oct-2008,0.640007581984523,0.938894181196502,0.298886599211979,1.46700477873277,46.7004778732773,243.364013566155,229.638963192203,5.63972058679973,1,8.4857661523259,6,01-Oct-2008,0.640007581984524,0.938894181196501,1.46700477873277,46.700477873277,0.0534555572676703,0
HOUST,1,802,0.245992373847452,0.293151822473066,1.19171101887435,19.1711018874347,1,01-Apr-2003,0.221799832662657,0.380515936109404,0.158716103446747,1.71558261131848,71.5582611318484,50.933891999126,46.4058297257135,8.89007710914804,1,34.3184447090249,6,01-Nov-2015,0.301803232951032,0.128316068539783,0.425164658725184,-57.4835341274816,1.96697276133584e-07,1
HOUSTNE,1,802,0.44223576419511,0.397373142224884,0.898554966372116,-10.1445033627884,1,01-Sep-2008,0.361720197096561,0.564438667338311,0.20271847024175,1.56042894996995,56.0428949969953,74.9878500510991,68.6768296593418,8.41605725121698,1,19.1180690555655,6,01-Feb-1974,0.561018457970048,0.371509644657357,0.6622057427515,-33.77942572485,0.000345113455747503,1
HOUSTMW,1,802,0.416755912631999,0.413473135205133,0.992123021348072,-0.787697865192766,1,01-Nov-2007,0.336555247715344,0.625340563107127,0.288785315391783,1.85806213794662,85.8062137946621,75.7649034542996,62.5643711821026,17.4230173475499,1,22.4111801086307,6,01-Nov-2007,0.336555247715344,0.625340563107126,1.85806213794662,85.8062137946619,6.94424274638727e-05,1
HOUSTS,1,802,0.275109550034099,0.30449034978565,1.10679672787771,10.6796727877711,1,01-Apr-2003,0.247851190886388,0.382664158207145,0.134812967320758,1.54392705089948,54.3927050899482,41.9742134322205,38.7073292270928,7.78307426868892,1,8.61681659459531,6,01-Dec-2001,0.246479307755059,0.377622979222323,1.53206767197508,53.2067671975081,0.0503502056371364,0
HOUSTW,1,802,0.331742032601694,0.353737818420155,1.06630388572096,6.63038857209583,1,01-Mar-2015,0.379225872430082,0.169953287237348,-0.209272585192733,0.448158471225306,-55.1841528774694,69.9248281627796,65.183990494795,6.77990606848295,1,41.7498752549094,6,01-Nov-2015,0.377315625049392,0.166868144962209,0.442250821021169,-55.7749178978831,4.89030893557896e-09,1
PERMIT,1,792,0.26212722763008,0.302833349082001,1.1552914659799,15.5291465979898,1,01-Jan-2015,0.315649482549125,0.148674362823057,-0.166975119726067,0.471010950572108,-52.8989049427892,45.3585964233012,42.3103427864363,6.72034383166892,1,23.7166529829237,6,01-Jan-2015,0.315649482549125,0.148674362823057,0.471010950572108,-52.8989049427892,3.66689939335085e-05,1
PERMITNE,1,792,0.407438367990586,0.357742066748718,0.87802743888122,-12.197256111878,1,01-Sep-1973,0.515243316164381,0.339121378716938,-0.176121937447443,0.658177152576096,-34.1822847423904,61.9561553826393,57.9043067565766,6.53986452361138,1,16.9831685176736,6,01-Jan-2016,0.397212946087899,0.254789402567115,0.641442845900426,-35.8557154099574,0.000969021350922361,1
PERMITMW,1,792,0.368907038447435,0.366454212778041,0.993351100917681,-0.664889908231938,1,01-Sep-1998,0.306228091193428,0.454257149565902,0.148029058372474,1.48339477216338,48.3394772163383,60.7859055078843,56.5789349071795,6.92096393983831,1,17.9432744545905,6,01-Dec-2015,0.390291363828796,0.238852948500357,0.611986250879822,-38.8013749120178,0.000609587903019682,1
PERMITS,1,792,0.412452839304362,0.348188045430355,0.844188746567013,-15.5811253432987,1,01-Aug-1976,0.493737625573663,0.330279843753079,-0.163457781820584,0.668937967547711,-33.1062032452289,48.7226504211875,44.7283776203991,8.19797930995022,1,10.4121057935263,6,01-Aug-1976,0.493737625573665,0.330279843753078,0.668937967547708,-33.1062032452292,0.0219843548699724,1
PERMITW,1,792,0.33455319849166,0.350049234362459,1.04631860027243,4.63186002724308,1,01-Dec-2014,0.384792577012964,0.142522988300919,-0.242269588712045,0.370389131223072,-62.9610868776928,69.6466676949092,63.1902667972918,9.27022226806312,1,45.4988700677504,6,01-May-2015,0.383808052405456,0.138140003422432,0.359919502878226,-64.0080497121774,7.53781037587942e-10,1
ACOGNO,0,NaN,NaN,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0
AMDMNOx,1,802,0.0338217361254788,0.0372725621810276,1.10202983202122,10.2029832021225,1,01-Feb-2005,0.0337907592541015,0.0408469983854662,0.0070562391313647,1.2088215620816,20.8821562081598,0.956945624670609,0.948378180189684,0.895290626766217,1,4.05007816478438,6,01-Nov-1988,0.0327599331964796,0.0385819158505335,1.17771656062716,17.7716560627162,0.370380768752861,0
ANDENOx,1,694,0.082059068745402,0.0797227598680705,0.971528937470883,-2.84710625291172,1,01-Jul-2012,0.072768675262403,0.105501801989274,0.0327331267268712,1.44982441426666,44.982441426666,4.15183514151844,4.01934956548264,3.19101244437518,1,9.72957592476182,6,01-Jun-2010,0.072302331944448,0.102375857028787,1.41594128813778,41.5941288137776,0.03017909293876,1
AMDMUOx,1,802,0.0123628218049234,0.00853026683437011,0.689993511915945,-31.0006488084055,1,01-Apr-1979,0.0133516281749908,0.00848621672150345,-0.00486541145348736,0.635594147041868,-36.4405852958132,0.0551451348642695,0.0511450595257894,7.25372301350917,1,17.3354668801341,6,01-Dec-2009,0.0108118018386811,0.00723008469163678,0.668721532221385,-33.1278467778615,0.000817597678911763,1
BUSINVx,1,801,0.00546322942247335,0.00475084612931811,0.869603994621787,-13.0396005378213,1,01-Dec-1972,0.003633387797651,0.00537728440399055,0.00174389660633955,1.47996434827766,47.9964348277656,0.0239898571949745,0.0235896445905657,1.66825755216521,1,9.50763073176609,6,01-Dec-1972,0.00363338779765101,0.00537728440399056,1.47996434827766,47.9964348277656,0.0334392618307694,1
